站点名称,主办单位名称,网站名称,目标地址,目标AS域,下行流量,上行流量,总流量
39.87.44.114:23646,,,39.87.44.114,山东省联通,153.216M,5.203M,158.419M
110.9.253.17:9981,,,110.9.253.17,韩国,103.971M,53.463M,157.434M
115.57.125.150,,,115.57.125.150,河南省联通,152.598M,2.863M,155.461M
f1.cbsxf.cn:8080,,,139.215.214.61,吉林省联通,147.404M,7.907M,155.311M
116.153.3.125,,,116.153.3.125,北京市联通,149.211M,5.276M,154.487M
113.3.175.161:1449,,,113.3.175.161,黑龙江省联通,148.28M,5.857M,154.136M
baidu.com-l-baidu.com,,,23.225.233.123,其他国家,138.199M,15.412M,153.611M
175.147.89.49:1443,,,175.147.89.49,辽宁省联通,148.459M,4.973M,153.432M
42.6.22.51:1443,,,42.6.22.51,辽宁省联通,149.358M,3.564M,152.922M
www.bbvdd.com,,,104.21.235.30,其他国家,147.58M,5.124M,152.704M
218.68.90.190,,,218.68.90.190,天津市联通,146.734M,5.953M,152.687M
www.tszye.cn:2100,,,104.233.194.225,其他国家,138.914M,13.464M,152.378M
175.172.222.2:480,,,175.172.222.2,辽宁省联通,151.28M,803.942K,152.084M
60.5.240.45:12300,,,60.5.240.45,河北省联通,146.145M,4.951M,151.095M
qzonestyle.gtimg.cn,,,42.56.79.99,辽宁省联通,144.229M,5.508M,149.737M
59.149.125.139,,,59.149.125.139,香港,146.206M,3.024M,149.23M
704-3.vod.tv.itc.cn,,,101.28.249.183,河北省联通,144.067M,5.084M,149.151M
downhdlogo.yy.com,,,119.36.50.5,湖北省联通,142.645M,6.259M,148.905M
119.49.215.56:49155,,,119.49.215.56,吉林省联通,139.417M,9.289M,148.706M
119.50.104.9:49155,,,119.50.104.9,吉林省联通,146.628M,2.053M,148.681M
122.137.57.91:49155,,,122.137.57.91,吉林省联通,141.81M,5.248M,147.058M
139.213.97.111:49155,,,139.213.97.111,吉林省联通,141.687M,5.253M,146.94M
slive.ytn.co.kr:1935,,,119.205.216.224,韩国,140.876M,5.173M,146.049M
hlsmgspvod.miguvideo.com:8080,,,180.95.171.140,甘肃省联通,140.206M,5.534M,145.74M
123.6.22.178,,,123.6.22.178,河南省联通,144.572M,1.14M,145.712M
119.49.209.54:49155,,,119.49.209.54,吉林省联通,142.36M,2.966M,145.326M
v5-dy-g.ixigua.com,,,175.23.172.97,吉林省联通,139.916M,5.17M,145.086M
ali2.a.yximgs.com,,,103.15.99.82,浙江省杭州市,140.951M,3.447M,144.397M
119.6.229.173,,,119.6.229.173,四川省联通,137.627M,6.704M,144.331M
222.161.143.100:49155,,,222.161.143.100,吉林省联通,139.026M,5.052M,144.077M
45.66.135.90,,,45.66.135.90,其他国家,134.353M,9.524M,143.877M
youku.cdn1-letv.com,,,23.225.233.131,其他国家,137.924M,4.187M,142.11M
36.249.54.25:1444,,,36.249.54.25,福建省联通,133.082M,8.479M,141.561M
cloudfront.com,,,114.108.130.33,韩国,124.826M,13.59M,138.417M
222.162.186.143:49155,,,222.162.186.143,吉林省联通,134.383M,3.877M,138.26M
qqpublic.qpic.cn,,,27.221.28.145,山东省联通,132.371M,5.022M,137.393M
vod.mpmbc.co.kr:1935,,,218.149.17.25,韩国,133.821M,3.478M,137.298M
