站点名称,主办单位名称,网站名称,目标地址,目标AS域,下行流量,上行流量,总流量
222.162.114.235:49155,,,222.162.114.235,吉林省联通,496.498M,26.479M,522.977M
tx.pull.yximgs.com,,,101.206.241.172,四川省联通,469.704M,47.356M,517.06M
122.136.212.247:2100,,,122.136.212.247,吉林省联通,478.336M,36.025M,514.362M
182.18.83.69,,,182.18.83.69,北京市联通,482.585M,25.383M,507.968M
hlsmgsplive.miguvideo.com:8080,,,101.254.240.85,北京市,462.834M,36.542M,499.376M
downxia.12mma.com,,,45.61.193.134,其他国家,416.16M,74.201M,490.362M
211.91.244.170,,,211.91.244.170,湖南省联通,444.579M,43.172M,487.751M
videos.kboard.cn,,,103.85.84.36,其他国家,465.777M,9.178M,474.956M
122.156.230.134:12140,,,122.156.230.134,黑龙江省联通,453.721M,18.994M,472.716M
122.156.230.198:18080,,,122.156.230.198,黑龙江省联通,450.439M,21.218M,471.657M
211.91.244.164,,,211.91.244.164,湖南省联通,418.151M,40.851M,459.002M
mhhy.dl.gxpan.cn,,,175.21.164.124,吉林省联通,436.589M,11.092M,447.681M
v9.douyinvod.com,,,122.156.230.42,黑龙江省联通,426.515M,8.806M,435.321M
szshort.weixin.qq.com,,,58.251.80.107,广东省联通,407.558M,26.033M,433.591M
211.91.244.167,,,211.91.244.167,湖南省联通,385.076M,40.188M,425.265M
218.60.55.242,,,218.60.55.242,辽宁省联通,402.832M,18.438M,421.27M
data.hicloud.com:8089,,,118.194.33.150,中国,28.525M,384.353M,412.879M
imtt.dd.qq.com,,,210.76.61.41,黑龙江省联通,404.46M,8.354M,412.815M
222.161.141.237:49155,,,222.161.141.237,吉林省联通,396.538M,13.223M,409.76M
47.106.49.14:8682,,,47.106.49.14,其他国家,400.141M,8.805M,408.946M
139.208.110.187:49155,,,139.208.110.187,吉林省联通,394.48M,12.655M,407.136M
images.xiaocao01.cn,,,47.246.43.225,其他国家,378.416M,21.624M,400.04M
kr.cdn.blizzard.com,,,137.221.64.5,其他国家,375.03M,21.383M,396.413M
122.156.230.133:12140,,,122.156.230.133,黑龙江省联通,378.896M,15.358M,394.254M
218.60.55.243,,,218.60.55.243,辽宁省联通,373.953M,18.623M,392.576M
jsmov2.a.yximgs.com,,,218.60.45.1,辽宁省联通,374.465M,17.72M,392.185M
cloudvipd1919.kufile.net,,,60.251.134.37,台湾,371.7M,18.083M,389.784M
ws.tsmusic.kg.qq.com,,,222.161.53.29,吉林省联通,376.492M,13.224M,389.716M
pcdownchuangcdn.titan.mgtv.com,,,182.18.83.70,北京市联通,353.517M,31.647M,385.164M
dldir3.qq.com,,,218.60.33.244,辽宁省联通,363.265M,18.748M,382.013M
v92.douyinvod.com,,,101.72.218.248,河北省联通,365.409M,14.894M,380.303M
704-7.vod.tv.itc.cn,,,101.28.249.189,河北省联通,368.857M,9.41M,378.267M
tx-p2p.pull.yximgs.com,,,139.215.148.42,吉林省联通,357.697M,18.318M,376.015M
iqiyi.cdn9-okzy.com,,,23.224.175.35,其他国家,352.209M,10.571M,362.779M
v2.get.sogou.com,,,49.7.115.35,北京市,142.377M,216.335M,358.712M
211.91.244.168,,,211.91.244.168,湖南省联通,327.329M,31.031M,358.36M
139.208.115.79:49155,,,139.208.115.79,吉林省联通,350.643M,5.976M,356.62M
211.91.244.161,,,211.91.244.161,湖南省联通,317.88M,37.086M,354.965M
220.194.108.91,,,220.194.108.91,天津市联通,343.803M,8.225M,352.028M
101.71.75.116,,,101.71.75.116,浙江省联通,344.907M,4.628M,349.535M
119.50.108.154:49155,,,119.50.108.154,吉林省联通,340.143M,7.816M,347.959M
v.yongjiujiexi.com,,,172.247.77.195,美国,322.588M,24.654M,347.242M
kbsnlife.gscdn.kbs.co.kr,,,13.226.115.59,美国,317.61M,29.576M,347.186M
139.208.110.31:49155,,,139.208.110.31,吉林省联通,336.294M,9.435M,345.729M
107.148.248.37:61231,,,107.148.248.37,其他国家,323.957M,13.847M,337.804M
v.waer.run,,,1.56.63.117,黑龙江省联通,305.168M,28.793M,333.961M
121.27.236.156:20800,,,121.27.236.156,河北省联通,328.292M,5.354M,333.646M
v4.qutoutiao.net,,,103.15.99.87,浙江省杭州市,323.177M,9.546M,332.723M
139.208.51.123:61797,,,139.208.51.123,吉林省联通,332.159M,0,332.159M
