设备地址,站点名称,目标地址,目标AS域,下行流量,上行流量,总流量,下行流量-新,上行流量-新,总流量-新
,111.231.242.13:8280,111.231.242.13,湖北省,1.069K,20.827K,21.896K,1.0689999999999998e-06G,2.0827000000000002e-05G,2.1896000000000002e-05G
,img8.jiwu.com,182.254.53.68,腾讯,0,21.879K,21.879K,0G,2.1879000000000002e-05G,2.1879000000000002e-05G
,123.207.209.42,123.207.209.42,腾讯,0,21.836K,21.836K,0G,2.1836e-05G,2.1836e-05G
,h5-poker.ps.xl3ct.top,182.254.49.96,腾讯,0,21.834K,21.834K,0G,2.1833999999999998e-05G,2.1833999999999998e-05G
,v.bjyzbx.com,182.254.59.174,腾讯,0,21.834K,21.834K,0G,2.1833999999999998e-05G,2.1833999999999998e-05G
,m.wendangku.net,140.143.219.130,河南省郑州市景安计算机网络,5.708K,16.085K,21.793K,5.708e-06G,1.6085000000000003e-05G,2.1793e-05G
,pear.yytmm.com.cn,106.52.161.252,北京市北龙中网,0,21.783K,21.783K,0G,2.1783e-05G,2.1783e-05G
,anv5btapi.papa91.com,193.112.255.170,其他国家,690,21.067K,21.757K,6.9e-07G,2.1067e-05G,2.1757000000000002e-05G
,sg3.ptkill.com,62.234.102.126,其他国家,0,21.751K,21.751K,0G,2.1751e-05G,2.1751e-05G
,opgwmain.sail2world.com,193.112.232.98,其他国家,2.068K,19.66K,21.728K,2.068e-06G,1.966e-05G,2.1728e-05G
,api.bbs.junshijia.com,182.254.53.68,腾讯,0,21.7K,21.7K,0G,2.17e-05G,2.17e-05G
,121.51.142.227,121.51.142.227,腾讯,8.696K,12.998K,21.694K,8.696e-06G,1.2998e-05G,2.1694e-05G
,rzx88.jimingjy.xyz,203.195.148.203,其他国家,0,21.665K,21.665K,0G,2.1665e-05G,2.1665e-05G
,vods.muear.cn,62.234.137.224,其他国家,0,21.632K,21.632K,0G,2.1632000000000002e-05G,2.1632000000000002e-05G
,121.51.68.142:80,121.51.68.142,腾讯,0,21.631K,21.631K,0G,2.1631e-05G,2.1631e-05G
,121.51.75.194,121.51.75.194,腾讯,0,21.616K,21.616K,0G,2.1616e-05G,2.1616e-05G
,img.chusan.com,182.254.59.207,腾讯,0,21.61K,21.61K,0G,2.161e-05G,2.161e-05G
,62.234.197.219,62.234.197.219,其他国家,0,21.606K,21.606K,0G,2.1606e-05G,2.1606e-05G
,api.fenxichi.com,121.51.224.59,腾讯,0,21.578K,21.578K,0G,2.1578e-05G,2.1578e-05G
,d2.yiche.com,182.254.59.158,腾讯,10.122K,11.446K,21.568K,1.0121999999999999e-05G,1.1446e-05G,2.1568e-05G
,h5-poker.ps.xl3be.top,182.254.53.92,腾讯,0,21.531K,21.531K,0G,2.1530999999999998e-05G,2.1530999999999998e-05G
,baa.bitauto.com,188.131.208.248,其他国家,0,21.501K,21.501K,0G,2.1501000000000003e-05G,2.1501000000000003e-05G
,dsp-1252899349.cos.ap-shanghai.myqcloud.com,211.159.226.106,腾讯,0,21.455K,21.455K,0G,2.1454999999999997e-05G,2.1454999999999997e-05G
,sffy.bealge.sogou.com,211.159.235.175,腾讯,0,21.439K,21.439K,0G,2.1439e-05G,2.1439e-05G
,152.136.207.13:7868,152.136.207.13,美国,3.901K,17.471K,21.372K,3.901e-06G,1.7471e-05G,2.1371999999999998e-05G
,193.112.247.149:10001,193.112.247.149,其他国家,0,21.368K,21.368K,0G,2.1368e-05G,2.1368e-05G
,face-cdn.tiaooo.com,182.254.59.192,腾讯,12.533K,8.802K,21.335K,1.2532999999999998e-05G,8.802e-06G,2.1334999999999998e-05G
,letv.cm.admaster.com.cn,111.231.131.16,湖北省,0,21.333K,21.333K,0G,2.1332999999999997e-05G,2.1332999999999997e-05G
,140.143.180.200,140.143.180.200,河南省郑州市景安计算机网络,18.557K,2.726K,21.283K,1.8557e-05G,2.7260000000000002e-06G,2.1283e-05G
,cc.stream.fm.qq.com,182.254.52.191,腾讯,1.072K,20.175K,21.247K,1.072e-06G,2.0175000000000003e-05G,2.1247e-05G
,sqnd.mercury.sogou.com,211.159.235.170,腾讯,0,21.233K,21.233K,0G,2.1233e-05G,2.1233e-05G
,ds.qilinxiaoyuan.cn,182.254.52.213,腾讯,0,21.227K,21.227K,0G,2.1227e-05G,2.1227e-05G
,yqcjt9.mzbyun.cn,182.254.59.207,腾讯,0,21.218K,21.218K,0G,2.1218e-05G,2.1218e-05G
,111.231.242.209:4015,111.231.242.209,湖北省,0,21.207K,21.207K,0G,2.1207e-05G,2.1207e-05G
,p3.maiyaole.com,182.254.59.158,腾讯,0,21.144K,21.144K,0G,2.1144e-05G,2.1144e-05G
,md.zbxkq.com,49.234.10.76,北京市教育信息网,0,21.134K,21.134K,0G,2.1134e-05G,2.1134e-05G
,haoqq.browser.qq.com,182.254.86.159,腾讯,0,21.132K,21.132K,0G,2.1132e-05G,2.1132e-05G
,img03.product.imobile.com.cn,182.254.59.207,腾讯,0,21.129K,21.129K,0G,2.1129e-05G,2.1129e-05G
,www.qqyewu.com,134.175.20.38,其他国家,0,21.125K,21.125K,0G,2.1125000000000002e-05G,2.1125000000000002e-05G
,wan.liebao.cn,123.207.134.175,腾讯,0,21.125K,21.125K,0G,2.1125000000000002e-05G,2.1125000000000002e-05G
,connect.blackshark.com,193.112.84.101,其他国家,1.212K,19.861K,21.073K,1.212e-06G,1.9861000000000002e-05G,2.1073000000000003e-05G
,m.gongjiao.com,49.233.2.170,北京市教育信息网,0,21.056K,21.056K,0G,2.1056000000000003e-05G,2.1056000000000003e-05G
